MATRIKELNUMMER;STUDBEZ;ZULAC;SEMESTER_ID;STUDIENJAHR;ST_SEM_NR;StudienStatusCode;StatusgruppeS;StatusgruppeSem1;STUDBEZ_kompakt;Studart;Studgruppe;FAMILIENNAME;VORNAME;GESCHLECHT;LAND_1;STUDDAUER;OUTGOINGSEM;Beginndat_Min;Endedat_Max;besuchtesSemester;Alter;Ueberlaenge;StatusgruppeR;ECTS_Sem;SWS_Sem;ECTS_Sj;SWS_Sj;prfakt;IncomingsemUHSBV
11730160;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;24.08.2018;09.09.2020;4;27;0;Studienfortsetzung;57;9,1;77;18,1;superprfakt;
01067801;"Masterstudium; Powerpoint";O;16S;2015/16;92;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Polen;4;;14.01.2015;27.10.2016;4;27;0;Studienabschluss;56;8;87;29;superprfakt;
00523482;"Masterstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Griechenland;4;;06.07.2012;27.12.2014;5;34;1;Studienfortsetzung;56;16;56;16;superprfakt;
00863296;"Masterstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;22.10.2012;24.05.2016;6;24;2;Studienfortsetzung;56;8;56;8;superprfakt;
09942952;"Masterstudium; Powerpoint";O;14W;2014/15;89;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;28.02.2013;09.03.2015;11;32;7;Studienabschluss;56;15;56;15;superprfakt;
01297576;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;06.07.2018;15.11.2021;6;26;2;Studienabschluss;55,5;0;70,75;8;superprfakt;
00393181;"Masterstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;24.05.2013;29.10.2016;6;29;2;Studienfortsetzung;55;8;55;8;superprfakt;
01262878;"Masterstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;27.02.2017;09.03.2020;5;23;1;Studienfortsetzung;55;6;60;11;superprfakt;
00868507;"Bachelorstudium; Powerpoint";O;13W;2013/14;87;IX;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;26.12.2009;05.11.2013;9;24;1;Studienabschluss;54,5;35,5;54,5;35,5;superprfakt;
01164727;"Masterstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Deutschland;4;;21.10.2016;17.02.2019;4;27;0;Studienfortsetzung;54,5;15,5;72;24;superprfakt;
00303903;"Masterstudium; Powerpoint";O;14S;2013/14;88;IP;Studienunterbrechung_Beginn; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;01.02.2013;08.09.2015;4;27;0;Studienunterbrechung_Beginn;54;14;72,5;22;superprfakt;
00842042;"Masterstudium; Powerpoint";O;17S;2016/17;94;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;21.01.2014;06.01.2018;7;28;3;Studienabschluss;54;15;59;20;superprfakt;
01268004;"Masterstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;27.08.2013;08.07.2016;5;32;1;Studienfortsetzung;54;6;54;6;superprfakt;
00794940;"Masterstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;03.09.2014;17.06.2017;4;25;0;Studienfortsetzung;53;13;70;22;superprfakt;
00569382;"Masterstudium; Powerpoint";O;16W;2016/17;93;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;19.01.2015;03.05.2017;5;29;1;Studienabschluss;53;13;53;13;superprfakt;
09066813;"Masterstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;17.05.2011;05.12.2014;6;27;2;Studienfortsetzung;53;14;53;14;superprfakt;
01169483;"Masterstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Japan;4;;09.01.2016;09.03.2018;4;27;0;Studienfortsetzung;53;5;64;7;superprfakt;
00300683;"Masterstudium; Powerpoint";O;16S;2015/16;92;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;20.01.2013;04.03.2017;6;29;2;Studienabschluss;52,5;12,5;70;21;superprfakt;
01070043;"Masterstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Iran;4;;17.02.2017;06.05.2019;4;28;0;Studienfortsetzung;52;12;72;24;superprfakt;
01062765;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;09.10.2017;29.10.2021;8;31;4;Studienabschluss;52;2;54;4;superprfakt;
11721417;"Bachelorstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Deutschland;8;;02.12.2017;31.12.9999;5;21;-3;Studienfortsetzung;51,5;29;81,5;48;superprfakt;
00504770;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;29.09.2016;04.12.2021;10;31;6;Studienabschluss;51;1;51;1;superprfakt;
00506834;"Masterstudium; Powerpoint";O;14W;2014/15;89;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;17.01.2011;01.01.2015;8;30;4;Studienabschluss;51;11;51;11;superprfakt;
01064078;"Masterstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;26.10.2015;12.12.2018;6;24;2;Studienfortsetzung;51;10;75;24;superprfakt;
00664258;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.08.2013;09.04.2016;4;27;0;Studienabschluss;51;11;74;25;superprfakt;
00824899;"Masterstudium; Powerpoint";O;17S;2016/17;94;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;13.11.2013;12.07.2017;8;29;4;Studienabschluss;51;12;60,5;21,5;superprfakt;
01043420;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;30.05.2018;31.12.9999;5;32;1;Studienfortsetzung;51;4,1;68;10,1;superprfakt;
01562407;"Masterstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;22.08.2019;31.12.9999;3;28;-1;Studienfortsetzung;51;10;65;16;superprfakt;
01162995;"Masterstudium; Powerpoint";O;17W;2017/18;95;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Russische Föderation;4;;10.07.2016;24.01.2018;4;26;0;Studienabschluss;50;11;50;11;superprfakt;
00766772;"Masterstudium; Powerpoint";O;15S;2014/15;90;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;China;4;;25.02.2013;29.10.2015;6;27;2;Studienfortsetzung;50;10;54;14;superprfakt;
00865113;"Masterstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Ungarn;4;;12.08.2014;09.07.2016;3;25;-1;Studienfortsetzung;50;11;67;18;superprfakt;
01065103;"Masterstudium; Powerpoint";O;19S;2018/19;98;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;28.10.2016;12.01.2020;6;25;2;Studienabschluss;49;9;61;12;superprfakt;
00164100;"Masterstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Taiwan (Republik China);4;;22.05.2011;02.10.2014;5;25;1;Studienfortsetzung;49;11;64;17;superprfakt;
00769177;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Deutschland;4;;08.06.2013;22.06.2015;4;24;0;Studienabschluss;49;10;68;19;superprfakt;
01203209;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;22.01.2018;22.06.2021;5;25;1;Studienfortsetzung;49;9;63;14;superprfakt;
01166272;"Masterstudium; Powerpoint";O;18S;2017/18;96;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Russische Föderation;4;;06.11.2015;07.01.2019;6;33;2;Studienabschluss;48,5;8;64;14;superprfakt;
00767569;"Masterstudium; Powerpoint";O;14S;2013/14;88;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;18.06.2012;08.11.2014;4;26;0;Studienabschluss;48;9;70;22;superprfakt;
00102757;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;11.08.2012;25.08.2015;6;33;2;Studienabschluss;48;9;64;16;superprfakt;
00495689;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;23.01.2012;17.05.2015;7;25;3;Studienabschluss;48;16;60;20;superprfakt;
09564945;"Masterstudium; Powerpoint";O;16S;2015/16;92;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;07.10.2014;21.06.2016;4;25;0;Studienabschluss;48;9;69;23;superprfakt;
00298788;"Masterstudium; Powerpoint";O;14S;2013/14;88;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;01.12.2010;07.02.2015;7;31;3;Studienabschluss;48;8;58;19;superprfakt;
00595703;"Masterstudium; Powerpoint";O;15W;2015/16;91;BpX;Studienunterbrechung_Ende;Studienabschluss-Sem1;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;20.05.2012;02.12.2015;6;26;2;Studienabschluss;48;9;48;9;superprfakt;
01063152;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Russische Föderation;4;;02.12.2016;22.11.2020;6;37;2;Studienfortsetzung;48;8;49;9;superprfakt;
00367068;"Masterstudium; Powerpoint";O;14W;2014/15;89;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;17.04.2012;19.01.2015;6;27;2;Studienabschluss;48;3;48;3;superprfakt;
00749429;"Masterstudium; Powerpoint";O;14W;2014/15;89;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;30.05.2012;11.05.2015;5;22;1;Studienabschluss;48;9;48;9;superprfakt;
01633085;"Bachelorstudium; Powerpoint";O;18S;2017/18;96;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;02.11.2016;01.01.2021;4;18;-4;Studienfortsetzung;47,5;33;79;55;superprfakt;
01368479;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;29.03.2019;01.07.2021;5;28;1;Studienabschluss;47,5;7,5;67;18;superprfakt;
01063435;"Bachelorstudium; Powerpoint";O;13W;2013/14;87;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Russische Föderation;8;;28.02.2011;02.05.2017;7;30;-1;Studienfortsetzung;47;35,5;75,5;63;superprfakt;
00963594;"Bachelorstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Philippinen;8;;17.12.2010;11.09.2018;14;27;6;Studienfortsetzung;47;37;47;37;superprfakt;
00616714;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;09.02.2017;07.03.2021;8;31;4;Studienfortsetzung;47;0;47;0;superprfakt;
00963899;"Masterstudium; Powerpoint";O;18S;2017/18;96;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Ungarn;4;;04.07.2015;11.12.2018;6;26;2;Studienabschluss;47;8;73;25;superprfakt;
00665071;"Masterstudium; Powerpoint";O;13W;2013/14;87;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Korea, Republik;4;;17.04.2010;31.03.2014;7;29;3;Studienabschluss;47;8;47;8;superprfakt;
01167110;"Masterstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;07.02.2017;09.09.2019;5;26;1;Studienfortsetzung;47;8;58;10;superprfakt;
00905480;"Masterstudium; Powerpoint";O;18W;2018/19;97;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;01.10.2015;02.03.2019;6;29;2;Studienabschluss;47;7;47;7;superprfakt;
00467393;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Taiwan (Republik China);4;;20.07.2012;17.04.2015;6;30;2;Studienabschluss;47;9;63;16;superprfakt;
00922420;"Masterstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.10.2014;03.03.2017;4;26;0;Studienfortsetzung;47;7;67;18;superprfakt;
09069091;"Masterstudium; Powerpoint";O;14S;2013/14;88;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;21.12.2009;04.03.2015;9;33;5;Studienabschluss;47;8;47;8;superprfakt;
00800362;"Masterstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;18.09.2013;14.11.2016;6;24;2;Studienfortsetzung;47;8;65;17;superprfakt;
00964151;"Bachelorstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Georgien;8;;20.08.2011;02.05.2016;9;26;1;Studienfortsetzung;46,5;33;49,5;35;superprfakt;
00704554;"Bachelorstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;23.12.2009;14.01.2015;10;25;2;Studienfortsetzung;46,5;31;63,5;39;superprfakt;
01301301;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;20.12.2014;03.03.2018;5;31;1;Studienfortsetzung;46,5;7,5;66;17;superprfakt;
01066696;"Masterstudium; Powerpoint";O;17W;2017/18;95;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;26.12.2014;22.09.2018;6;24;2;Studienabschluss;46;6;46;6;superprfakt;
01096228;"Masterstudium; Powerpoint";O;18W;2018/19;97;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;06.07.2016;25.04.2019;6;27;2;Studienabschluss;46;7;46;7;superprfakt;
00466639;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;17.03.2014;10.12.2017;7;29;3;Studienfortsetzung;46;7;68;20;superprfakt;
00668693;"Masterstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;04.06.2016;12.02.2019;6;25;2;Studienfortsetzung;46;7;46;7;superprfakt;
01379838;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;04.06.2018;27.02.2021;6;27;2;Studienabschluss;46;0;55,5;0;superprfakt;
00866924;"Masterstudium; Powerpoint";O;15W;2015/16;91;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Japan;4;;30.10.2012;20.07.2016;6;36;2;Studienabschluss;46;8;46;8;superprfakt;
01364010;"Masterstudium; Powerpoint";O;20S;2019/20;100;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;31.07.2017;25.11.2020;6;28;2;Studienabschluss;45,75;6,5;67,25;17,5;superprfakt;
01637321;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;22.10.2016;14.10.2021;2;20;-6;Studienfortsetzung;45,5;32;72;48;superprfakt;
01161331;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;20.12.2016;18.10.2019;6;26;-2;Studienfortsetzung;45,5;29,5;73;46,5;superprfakt;
01168493;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Schweiz;8;;16.07.2013;31.01.2018;8;24;0;Studienfortsetzung;45,5;31,5;74;48,5;superprfakt;
01063579;"Bachelorstudium; Powerpoint";O;16S;2015/16;92;IX;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Spanien;8;;13.10.2011;24.11.2016;10;23;2;Studienabschluss;45,5;29,5;68;44;superprfakt;
00750921;"Masterstudium; Powerpoint";O;15W;2015/16;91;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;02.03.2013;10.12.2016;6;30;2;Studienfortsetzung;45,5;6,5;50,5;11,5;superprfakt;
01408952;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;07.11.2014;19.01.2019;6;22;-2;Studienfortsetzung;45;31;54,5;40;superprfakt;
00869968;"Masterstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;23.07.2013;24.12.2016;6;26;2;Studienfortsetzung;45;6;45;6;superprfakt;
00867188;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Russische Föderation;4;;11.01.2016;26.11.2017;4;30;0;Studienfortsetzung;45;6;59;11;superprfakt;
00666550;"Masterstudium; Powerpoint";O;17W;2017/18;95;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Ungarn;4;;20.01.2014;23.10.2018;8;28;4;Studienfortsetzung;45;6;59;11;superprfakt;
00365072;"Masterstudium; Powerpoint";O;14S;2013/14;88;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;01.07.2012;26.07.2014;5;32;1;Studienabschluss;45;6;60;12;superprfakt;
01464153;"Masterstudium; Powerpoint";O;17S;2016/17;94;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;24.02.2015;13.11.2017;6;26;2;Studienfortsetzung;45;7;63;17;superprfakt;
00667464;"Masterstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.08.2011;21.05.2015;5;28;1;Studienfortsetzung;45;6;45;6;superprfakt;
01068163;"Masterstudium; Powerpoint";O;18S;2017/18;96;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Finnland;4;;16.08.2015;29.07.2018;6;28;2;Studienabschluss;45;6;65,5;18,5;superprfakt;
01270570;"Masterstudium; Powerpoint";O;19W;2019/20;99;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;21.09.2016;27.06.2020;7;26;3;Studienfortsetzung;44,75;13,5;45,5;14;superprfakt;
11721484;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Luxemburg;4;;13.06.2018;10.04.2021;6;27;2;Studienabschluss;44,75;4,5;65,5;15;superprfakt;
00614984;"Bachelorstudium; Powerpoint";O;16S;2015/16;92;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;01.12.2012;22.02.2017;8;25;0;Studienfortsetzung;44,5;32;75,5;51;superprfakt;
00867570;"Bachelorstudium; Powerpoint";O;17S;2016/17;94;IX;Studienabschluss; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;15.06.2012;26.05.2017;10;27;2;Studienabschluss;44,5;27;75;43;superprfakt;
00964118;"Bachelorstudium; Powerpoint";O;14W;2014/15;89;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;09.07.2013;08.05.2018;3;25;-5;Studienfortsetzung;44;31;72,5;50;superprfakt;
11729713;"Bachelorstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;M;Italien (Südtirol);8;;31.01.2018;24.06.2020;3;18;-5;Studienfortsetzung;44;30;76;53;superprfakt;
11928768;"Bachelorstudium; Powerpoint";O;20W;2020/21;101;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Slowenien;8;;07.09.2019;31.12.9999;3;18;-5;Studienfortsetzung;44;32;77;54;superprfakt;
11724652;"Bachelorstudium; Powerpoint";O;19S;2018/19;98;I;Studienfortsetzung; ;"BA; PPP";BA;PPP;Personson;Person;W;Österreich;8;;22.06.2017;23.08.2021;4;20;-4;Studienfortsetzung;44;32,5;75,5;51,5;superprfakt;
09921521;"Masterstudium; Powerpoint";O;13W;2013/14;87;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;28.11.2010;18.08.2014;6;32;2;Studienabschluss;44;5;44;5;superprfakt;
